SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM (BOUCLES MULTIPLES)
Date: 2026-06-30 16:17:35
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
90.0       | 88.53      | 1.47       | 180824   | 230.70     | 188.59     | 308.06     | -0.2970  | 0.8466   | -0.4416  | -0.9491  | -0.3123  | 0.0397   | -0.1043  | 0.4309   | 0.8963  
100.0      | 98.83      | 1.17       | 180977   | 232.97     | 190.72     | 308.22     | -0.2286  | 0.8743   | -0.4282  | -0.9692  | -0.2459  | 0.0153   | -0.0919  | 0.4185   | 0.9035  
90.0       | 89.94      | 0.06       | 181131   | 232.84     | 190.51     | 308.29     | -0.2321  | 0.8737   | -0.4276  | -0.9683  | -0.2491  | 0.0166   | -0.0920  | 0.4179   | 0.9038  
80.0       | 80.03      | 0.03       | 181285   | 231.29     | 188.94     | 308.52     | -0.2657  | 0.8627   | -0.4303  | -0.9593  | -0.2810  | 0.0289   | -0.0959  | 0.4205   | 0.9022  
70.0       | 70.02      | 0.02       | 181438   | 227.80     | 185.17     | 308.69     | -0.3514  | 0.8257   | -0.4413  | -0.9296  | -0.3637  | 0.0597   | -0.1112  | 0.4312   | 0.8954  
60.0       | 60.11      | 0.11       | 181592   | 223.99     | 179.77     | 308.88     | -0.4852  | 0.7545   | -0.4418  | -0.8643  | -0.4905  | 0.1115   | -0.1326  | 0.4360   | 0.8901  
50.0       | 50.15      | 0.15       | 181745   | 221.20     | 175.11     | 309.35     | -0.5805  | 0.6804   | -0.4473  | -0.7996  | -0.5801  | 0.1554   | -0.1537  | 0.4479   | 0.8808  
40.0       | 40.19      | 0.19       | 181899   | 218.75     | 170.12     | 310.02     | -0.6726  | 0.5873   | -0.4502  | -0.7172  | -0.6673  | 0.2010   | -0.1824  | 0.4581   | 0.8700  
30.0       | 30.22      | 0.22       | 182052   | 217.05     | 165.43     | 310.61     | -0.7506  | 0.4825   | -0.4514  | -0.6251  | -0.7400  | 0.2485   | -0.2141  | 0.4687   | 0.8570  
20.0       | 20.26      | 0.26       | 182206   | 215.87     | 161.08     | 311.21     | -0.8101  | 0.3788   | -0.4475  | -0.5328  | -0.7941  | 0.2925   | -0.2445  | 0.4754   | 0.8451  
10.0       | 10.25      | 0.25       | 182360   | 215.01     | 157.10     | 311.51     | -0.8502  | 0.2801   | -0.4457  | -0.4516  | -0.8233  | 0.3440   | -0.2706  | 0.4937   | 0.8264  
0.0        | 0.39       | 0.39       | 182513   | 214.70     | 155.25     | 312.07     | -0.8684  | 0.2308   | -0.4388  | -0.4028  | -0.8445  | 0.3530   | -0.2891  | 0.4833   | 0.8263  
-10.0      | -9.52      | 0.48       | 182667   | 214.44     | 152.75     | 312.28     | -0.8838  | 0.1755   | -0.4337  | -0.3527  | -0.8589  | 0.3712   | -0.3074  | 0.4811   | 0.8210  
-20.0      | -19.43     | 0.57       | 182820   | 214.29     | 149.62     | 312.66     | -0.8992  | 0.1072   | -0.4242  | -0.2903  | -0.8715  | 0.3952   | -0.3273  | 0.4785   | 0.8148  
-30.0      | -29.64     | 0.36       | 182974   | 214.30     | 149.44     | 312.63     | -0.9003  | 0.1010   | -0.4234  | -0.2847  | -0.8724  | 0.3973   | -0.3293  | 0.4782   | 0.8142  
-40.0      | -39.40     | 0.60       | 183128   | 214.29     | 149.09     | 312.68     | -0.9020  | 0.0925   | -0.4218  | -0.2768  | -0.8735  | 0.4005   | -0.3314  | 0.4780   | 0.8135  
-50.0      | -49.61     | 0.39       | 183281   | 214.33     | 149.08     | 312.71     | -0.9022  | 0.0908   | -0.4216  | -0.2753  | -0.8737  | 0.4011   | -0.3320  | 0.4780   | 0.8132  
-40.0      | -40.04     | 0.04       | 183435   | 214.33     | 149.24     | 312.80     | -0.9018  | 0.0928   | -0.4221  | -0.2775  | -0.8731  | 0.4009   | -0.3314  | 0.4787   | 0.8131  
