SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM (BOUCLES MULTIPLES)
Date: 2026-06-30 16:15:05
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
90.0       | 88.96      | 1.04       | 162455   | 223.94     | 179.79     | 308.39     | -0.5377  | 0.7099   | -0.4548  | -0.8302  | -0.5398  | 0.1390   | -0.1468  | 0.4523   | 0.8797  
100.0      | 99.51      | 0.49       | 162539   | 224.05     | 179.93     | 308.41     | -0.5349  | 0.7131   | -0.4531  | -0.8323  | -0.5369  | 0.1377   | -0.1451  | 0.4508   | 0.8808  
90.0       | 90.04      | 0.04       | 162622   | 223.71     | 179.40     | 308.48     | -0.5422  | 0.7074   | -0.4535  | -0.8273  | -0.5439  | 0.1406   | -0.1472  | 0.4514   | 0.8801  
80.0       | 80.13      | 0.13       | 162705   | 221.62     | 175.85     | 308.96     | -0.5978  | 0.6611   | -0.4534  | -0.7855  | -0.5960  | 0.1667   | -0.1601  | 0.4558   | 0.8756  
70.0       | 70.21      | 0.21       | 162788   | 219.39     | 171.62     | 309.48     | -0.6613  | 0.5959   | -0.4556  | -0.7273  | -0.6580  | 0.1952   | -0.1834  | 0.4604   | 0.8685  
60.0       | 60.16      | 0.16       | 162871   | 217.60     | 167.09     | 310.18     | -0.7290  | 0.5125   | -0.4537  | -0.6527  | -0.7202  | 0.2353   | -0.2062  | 0.4677   | 0.8595  
50.0       | 50.29      | 0.29       | 162955   | 216.32     | 163.02     | 310.75     | -0.7850  | 0.4252   | -0.4505  | -0.5748  | -0.7712  | 0.2737   | -0.2311  | 0.4738   | 0.8498  
40.0       | 40.09      | 0.09       | 163038   | 215.54     | 159.65     | 311.23     | -0.8265  | 0.3429   | -0.4464  | -0.5016  | -0.8086  | 0.3076   | -0.2555  | 0.4782   | 0.8403  
30.0       | 30.37      | 0.37       | 163121   | 214.96     | 157.66     | 311.54     | -0.8478  | 0.2856   | -0.4468  | -0.4540  | -0.8264  | 0.3331   | -0.2741  | 0.4852   | 0.8303  
20.0       | 20.12      | 0.12       | 163204   | 214.92     | 157.47     | 311.57     | -0.8489  | 0.2833   | -0.4462  | -0.4515  | -0.8276  | 0.3335   | -0.2748  | 0.4846   | 0.8304  
10.0       | 10.30      | 0.30       | 163287   | 214.92     | 157.05     | 311.51     | -0.8514  | 0.2744   | -0.4471  | -0.4455  | -0.8281  | 0.3402   | -0.2769  | 0.4888   | 0.8273  
0.0        | 0.39       | 0.39       | 163371   | 214.78     | 156.33     | 311.72     | -0.8592  | 0.2556   | -0.4432  | -0.4263  | -0.8365  | 0.3442   | -0.2828  | 0.4847   | 0.8277  
-10.0      | -9.86      | 0.14       | 163454   | 214.77     | 156.23     | 311.73     | -0.8600  | 0.2533   | -0.4430  | -0.4241  | -0.8376  | 0.3445   | -0.2838  | 0.4841   | 0.8277  
-20.0      | -19.68     | 0.32       | 163537   | 214.75     | 156.17     | 311.74     | -0.8602  | 0.2520   | -0.4432  | -0.4233  | -0.8376  | 0.3453   | -0.2842  | 0.4847   | 0.8272  
-30.0      | -29.74     | 0.26       | 163620   | 214.75     | 156.14     | 311.74     | -0.8603  | 0.2517   | -0.4433  | -0.4230  | -0.8378  | 0.3453   | -0.2845  | 0.4846   | 0.8272  
-40.0      | -39.79     | 0.21       | 163703   | 214.72     | 155.77     | 311.67     | -0.8614  | 0.2479   | -0.4432  | -0.4212  | -0.8363  | 0.3510   | -0.2837  | 0.4891   | 0.8248  
-50.0      | -49.56     | 0.44       | 163786   | 214.65     | 154.88     | 311.93     | -0.8701  | 0.2226   | -0.4398  | -0.3962  | -0.8466  | 0.3553   | -0.2932  | 0.4834   | 0.8248  
-40.0      | -40.14     | 0.14       | 163870   | 214.60     | 154.87     | 311.93     | -0.8696  | 0.2228   | -0.4407  | -0.3968  | -0.8465  | 0.3550   | -0.2939  | 0.4836   | 0.8245  
-30.0      | -30.18     | 0.18       | 163953   | 214.65     | 154.87     | 311.84     | -0.8682  | 0.2250   | -0.4423  | -0.4010  | -0.8432  | 0.3580   | -0.2924  | 0.4882   | 0.8223  
-20.0      | -20.31     | 0.31       | 164036   | 214.77     | 155.96     | 311.78     | -0.8642  | 0.2398   | -0.4423  | -0.4123  | -0.8413  | 0.3495   | -0.2883  | 0.4844   | 0.8260  
-10.0      | -10.50     | 0.50       | 164119   | 215.29     | 158.88     | 311.30     | -0.8402  | 0.3007   | -0.4514  | -0.4687  | -0.8213  | 0.3253   | -0.2729  | 0.4849   | 0.8309  
0.0        | -0.78      | 0.78       | 164202   | 216.55     | 163.28     | 310.54     | -0.7994  | 0.3937   | -0.4539  | -0.5490  | -0.7856  | 0.2854   | -0.2442  | 0.4774   | 0.8441  
