SYNCHRONISATION DYNAMIXEL ET QUALISYS QTM (BOUCLES MULTIPLES)
Date: 2026-06-30 15:51:02
Marqueur recherché: L-frame
================================================================================================================================================================
CIBLE (°)  | RÉEL_MOL   | ERR_MOL    | FRAME    | X (mm)     | Y (mm)     | Z (mm)     | M00      | M01      | M02      | M10      | M11      | M12      | M20      | M21      | M22     
50.0       | 49.86      | 0.14       | 18249    | 210.50     | 148.60     | 290.79     | -0.6642  | 0.0687   | -0.7444  | -0.4034  | -0.8713  | 0.2796   | -0.6293  | 0.4860   | 0.6064  
40.0       | 39.96      | 0.04       | 18332    | 210.38     | 148.58     | 291.53     | -0.6712  | 0.0691   | -0.7380  | -0.4005  | -0.8716  | 0.2826   | -0.6237  | 0.4853   | 0.6128  
30.0       | 30.06      | 0.06       | 18415    | 210.19     | 148.80     | 293.64     | -0.6937  | 0.0755   | -0.7163  | -0.3948  | -0.8716  | 0.2905   | -0.6024  | 0.4843   | 0.6344  
20.0       | 20.04      | 0.04       | 18498    | 210.29     | 149.39     | 298.21     | -0.7431  | 0.0916   | -0.6629  | -0.3825  | -0.8710  | 0.3083   | -0.5492  | 0.4826   | 0.6823  
10.0       | 10.14      | 0.14       | 18582    | 210.87     | 149.98     | 303.14     | -0.7932  | 0.1105   | -0.5988  | -0.3680  | -0.8704  | 0.3269   | -0.4852  | 0.4797   | 0.7311  
0.0        | 0.23       | 0.23       | 18665    | 212.47     | 150.49     | 308.91     | -0.8514  | 0.1328   | -0.5075  | -0.3444  | -0.8712  | 0.3498   | -0.3957  | 0.4726   | 0.7875  
-10.0      | -9.67      | 0.33       | 18748    | 214.87     | 150.91     | 314.78     | -0.9023  | 0.1561   | -0.4019  | -0.3161  | -0.8735  | 0.3703   | -0.2932  | 0.4611   | 0.8375  
-20.0      | -19.57     | 0.43       | 18831    | 216.83     | 151.19     | 318.58     | -0.9291  | 0.1739   | -0.3264  | -0.2979  | -0.8750  | 0.3816   | -0.2193  | 0.4518   | 0.8648  
-30.0      | -29.47     | 0.53       | 18914    | 219.19     | 151.48     | 322.60     | -0.9508  | 0.1918   | -0.2433  | -0.2773  | -0.8770  | 0.3924   | -0.1381  | 0.4406   | 0.8870  
-40.0      | -39.32     | 0.68       | 18998    | 221.98     | 151.68     | 326.69     | -0.9657  | 0.2093   | -0.1535  | -0.2545  | -0.8796  | 0.4019   | -0.0509  | 0.4271   | 0.9027  
-50.0      | -49.10     | 0.90       | 19081    | 225.68     | 151.82     | 331.21     | -0.9726  | 0.2280   | -0.0451  | -0.2261  | -0.8832  | 0.4108   | 0.0538   | 0.4098   | 0.9106  
-40.0      | -39.96     | 0.04       | 19164    | 225.65     | 151.82     | 331.12     | -0.9726  | 0.2279   | -0.0465  | -0.2266  | -0.8829  | 0.4112   | 0.0527   | 0.4105   | 0.9103  
-30.0      | -30.06     | 0.06       | 19247    | 225.20     | 151.69     | 330.33     | -0.9725  | 0.2251   | -0.0591  | -0.2292  | -0.8824  | 0.4109   | 0.0403   | 0.4131   | 0.9098  
-20.0      | -20.04     | 0.04       | 19330    | 224.17     | 151.61     | 328.77     | -0.9715  | 0.2195   | -0.0899  | -0.2370  | -0.8814  | 0.4086   | 0.0105   | 0.4182   | 0.9083  
-10.0      | -10.14     | 0.14       | 19414    | 221.30     | 151.41     | 324.12     | -0.9619  | 0.2040   | -0.1822  | -0.2620  | -0.8784  | 0.3997   | -0.0785  | 0.4321   | 0.8984  
0.0        | -0.18      | 0.18       | 19497    | 218.15     | 151.17     | 318.79     | -0.9385  | 0.1828   | -0.2930  | -0.2911  | -0.8752  | 0.3863   | -0.1858  | 0.4478   | 0.8746  
10.0       | 9.67       | 0.33       | 19580    | 215.44     | 150.92     | 313.54     | -0.9031  | 0.1606   | -0.3984  | -0.3187  | -0.8723  | 0.3708   | -0.2879  | 0.4618   | 0.8389  
20.0       | 19.63      | 0.37       | 19663    | 213.55     | 150.63     | 309.05     | -0.8648  | 0.1424   | -0.4816  | -0.3412  | -0.8702  | 0.3553   | -0.3685  | 0.4716   | 0.8011  
30.0       | 29.41      | 0.59       | 19746    | 212.48     | 150.37     | 305.49     | -0.8308  | 0.1282   | -0.5415  | -0.3570  | -0.8693  | 0.3419   | -0.4269  | 0.4774   | 0.7680  
40.0       | 39.38      | 0.62       | 19830    | 211.56     | 149.95     | 301.11     | -0.7871  | 0.1105   | -0.6068  | -0.3726  | -0.8692  | 0.3250   | -0.4915  | 0.4820   | 0.7254  
50.0       | 49.28      | 0.72       | 19913    | 210.90     | 149.45     | 296.23     | -0.7331  | 0.0915   | -0.6739  | -0.3894  | -0.8689  | 0.3055   | -0.5576  | 0.4864   | 0.6727  
60.0       | 59.12      | 0.88       | 19996    | 210.55     | 148.86     | 290.59     | -0.6624  | 0.0692   | -0.7459  | -0.4075  | -0.8688  | 0.2813   | -0.6286  | 0.4903   | 0.6037  
